"Park1","Park2","distance","duration","origin","destination","status"
"Banning State Park MN","Franz Jevne State Park MN","385217","13811","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Franz Jevne State Park, MN-11, Birchdale, MN 56629, USA",TRUE
"Banning State Park MN","Frontenac State Park MN","240197","8804","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Frontenac State Park, 29223 County 28 Blvd, Frontenac, MN 55026, USA",TRUE
"Banning State Park MN","George H. Crosby-Manitou State Park MN","217914","8515","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","George Crosby Manitou State Park, 7616 Co Hwy 7, Finland, MN 55603, USA",TRUE
"Banning State Park MN","Glacial Lakes State Park MN","261063","10453","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Glacial Lakes State Park, 25022 Co Rd 41, Starbuck, MN 56381, USA",TRUE
"Banning State Park MN","Glendalough State Park MN","252575","10432","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Glendalough State Park, 25287 Whitetail Ln, Battle Lake, MN 56515, USA",TRUE
"Banning State Park MN","Gooseberry Falls State Park MN","163501","5996","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Gooseberry Falls State Park, 3206 MN-61, Two Harbors, MN 55616, USA",TRUE
"Banning State Park MN","Grand Portage State Park MN","341403","13345","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Grand Portage State Park, 9393 MN-61, Grand Portage, MN 55605",TRUE
"Banning State Park MN","Great River Bluffs State Park MN","370167","12396","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Great River Bluffs State Park, 43605 Kipp Dr, Winona, MN 55987, USA",TRUE
"Banning State Park MN","Hayes Lake State Park MN","454426","17497","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Hayes Lake State Park, 48990 Co Rd 4, Roseau, MN 56751, USA",TRUE
"Banning State Park MN","Interstate State Park MN","110178","4135","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Interstate State Park, 307 Milltown Ct., Taylors Falls, MN 55084, United States",TRUE
"Banning State Park MN","Itasca State Park MN","286415","11403","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Itasca State Park, 36750 Main Park Drive, Park Rapids, MN 56470, USA",TRUE
"Banning State Park MN","Jay Cooke State Park MN","70840","2446","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Jay Cooke State Park, 780 MN-210, Carlton, MN 55718, USA",TRUE
"Banning State Park MN","Judge C.R. Magney State Park MN","299141","11610","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Judge C.R. Magney State Park, 4051 MN-61, Grand Marais, MN 55604, USA",TRUE
"Banning State Park MN","Kilen Woods State Park MN","400526","14676","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Kilen Woods State Park, 50200 860th St, Lakefield, MN 56150, USA",TRUE
"Banning State Park MN","La Salle Lake State Recreation Area MN","294078","11602","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","La Salle Lake State Recreation Area, 10899 Co Hwy 9, Solway, MN 55678, USA",TRUE
"Banning State Park MN","Lac qui Parle State Park MN","312236","12584","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Lac qui Parle State Park, 14047 20th St NW, Watson, MN 56295, USA",TRUE
"Banning State Park MN","Lake Bemidji State Park MN","283179","11379","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Lake Bemidji State Park, 3401 State Park Rd NE, Bemidji, MN 56601, USA",TRUE
"Banning State Park MN","Lake Bronson State Park MN","498818","19248","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Lake Bronson State Park, County Rd 28, Lake Bronson, MN 56734, USA",TRUE
"Banning State Park MN","Lake Carlos State Park MN","230270","9481","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Lake Carlos State Park, 2601 County Rd 38 NE, Carlos, MN 56319, USA",TRUE
"Banning State Park MN","Lake Louise State Park MN","331540","11381","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Lake Louise State Park, 12385 766th Ave, Le Roy, MN 55951, USA",TRUE
"Banning State Park MN","Lake Maria State Park MN","159270","6558","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Lake Maria State Park, 11411 Clementa Ave NW, Monticello, MN 55362, USA",TRUE
"Banning State Park MN","Lake Shetek State Park MN","388143","15596","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Lake Shetek State Park, 163 State Park Rd, Currie, MN 56123, USA",TRUE
"Banning State Park MN","Lake Vermilion-Soudan Underground Mine State Park MN","215078","7834","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Lake Vermilion-Soudan Underground Mine State Park, 1302 McKinley Park Rd, Soudan, MN 55782, USA",TRUE
"Banning State Park MN","Maplewood State Park MN","277275","11187","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Maplewood State Park, 39721 Park Entrance Road, Pelican Rapids, MN 56572, USA",TRUE
"Banning State Park MN","McCarthy Beach State Park MN","212631","7702","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","McCarthy Beach State Park, 7622 McCarthy Beach Rd, Side Lake, MN 55781, USA",TRUE
"Banning State Park MN","Mille Lacs Kathio State Park MN","88129","3892","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Kathio State Park Rd, Kathio Township, MN 56359, USA",TRUE
"Banning State Park MN","Minneopa State Park MN","285656","10363","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Minneopa State Park, 54497 Gadwall Rd, Mankato, MN 56001, USA",TRUE
"Banning State Park MN","Minnesota Valley State Recreation Area MN","210872","7345","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Minnesota Valley State Recreation Area, 19825 Park Blvd, Jordan, MN 55352, USA",TRUE
"Banning State Park MN","Monson Lake State Park MN","240211","9908","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Monson Lake State Park, 1690 15th St NE, Sunburg, MN 56289, USA",TRUE
"Banning State Park MN","Moose Lake State Park MN","31884","1063","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Moose Lake State Park, 4252 Co Rd 137, Moose Lake, MN 55767, USA",TRUE
"Banning State Park MN","Myre-Big Island State Park MN","304372","10186","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Myre-Big Island State Park, 19499 780th Ave, Albert Lea, MN 56007, USA",TRUE
"Banning State Park MN","Nerstrand Big Woods State Park MN","233285","8097","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Nerstrand Big Woods State Park, 9700 170th St E, Nerstrand, MN 55053, USA",TRUE
"Banning State Park MN","Old Mill State Park MN","466349","17986","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Old Mill State Park, 33489 240th Ave NW, Argyle, MN 56713, USA",TRUE
"Banning State Park MN","Red River State Recreation Area MN","452418","17246","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Red River State Recreation Area, 515 2nd St NW, East Grand Forks, MN 56721, USA",TRUE
"Banning State Park MN","Rice Lake State Park MN","267115","9300","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Rice Lake, Merton Township, MN 55060, USA",TRUE
"Banning State Park MN","St. Croix State Park MN","37723","1544","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","St. Croix State Park, 30065 St Croix Park Rd, Hinckley, MN 55037, USA",TRUE
"Banning State Park MN","Sakatah Lake State Park MN","249088","8431","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Sakatah Lake State Park, 50499 Sakatah Lake State Park Road, Waterville, MN 56096, United States",TRUE
"Banning State Park MN","Savanna Portage State Park MN","111932","4526","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Savanna Portage State Park, 55626 Lake Pl, McGregor, MN 55760, USA",TRUE
"Banning State Park MN","Scenic State Park MN","219160","8605","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Scenic State Park, 56956 Scenic Hwy, Bigfork, MN 56628, USA",TRUE
"Banning State Park MN","Schoolcraft State Park MN","188037","7686","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Schoolcraft State Park, 9042 Schoolcraft Ln NE, Deer River, MN 56636, USA",TRUE
"Banning State Park MN","Sibley State Park MN","217893","8824","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Sibley State Park, 800 Sibley Park Rd NE, New London, MN 56273, USA",TRUE
"Banning State Park MN","Split Rock Creek State Park MN","426847","16813","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Split Rock Creek State Park, 336 50th Ave, Jasper, MN 56144, USA",TRUE
"Banning State Park MN","Split Rock Lighthouse State Park MN","174533","6427","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Split Rock Lighthouse State Park, 3755 Split Rock Lighthouse Road, Two Harbors, MN 55616, USA",TRUE
"Banning State Park MN","Temperance River State Park MN","229695","8700","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Temperance River State Park, 7620 West Highway 61, Schroeder, MN 55613, United States",TRUE
"Banning State Park MN","Tettegouche State Park MN","194683","7284","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Tettegouche State Park, 5702 MN-61, Silver Bay, MN 55614, USA",TRUE
"Banning State Park MN","Upper Sioux Agency State Park MN","308452","12359","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Upper Sioux Agency State Park, 5908 MN-67, Granite Falls, MN 56241, USA",TRUE
"Banning State Park MN","Whitewater State Park MN","306860","10738","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Whitewater State Park, 19041 MN-74, Altura, MN 55910, USA",TRUE
